,20.0,45.0,65.0,75.0,85.0
Gyor,0.4583540301566414,0.3294668686133922,0.12432402238602025,0.0671350960022689,0.0207199828416772
Hamburg,0.4476171818624966,0.32409344413757896,0.11168919918313137,0.08643449262111576,0.03016568219567722
Helsinki,0.4560284158443209,0.33247919949138954,0.12741023302098017,0.06134615916189844,0.022735992481410842
Klaipeda,0.4060809762932303,0.3609108362345114,0.11692630205408759,0.09033332798553956,0.02574855743263117
Kosice,0.49090458152958155,0.3362238455988456,0.10441580988455988,0.05329184704184705,0.015163915945165946
Krakow,0.4717003548501755,0.3067843740242602,0.12046250311745799,0.07356415286639213,0.027488615141714235
Leeds,0.49625773328093165,0.30074833685316443,0.10920370274780417,0.06737011712154298,0.02642010999655685
Leipzig,0.45924957035488095,0.28975525071307173,0.11588391689607086,0.10233411016195783,0.03277715187401861
Liege,0.42426884498902506,0.33907032313633967,0.1222027729154511,0.07960434553082717,0.03485371342835709
Lille,0.37776452034928626,0.3516542970309674,0.13717470531464623,0.08845407004240653,0.04495240726269365
Lisbon,0.4069052664779773,0.328980186036223,0.14279868813777685,0.08972293333073735,0.031592926017285555
Ljubljana,0.44312618889235084,0.33864737149561974,0.11373124376741399,0.07679495730774594,0.027700238536869582
London,0.5540925244891979,0.29136296950741175,0.08314710779393127,0.05029774465753499,0.02109965355192413
Luxembourg,0.46892380088256375,0.34847781394173144,0.09687015949902548,0.061725600643126426,0.02400262503355287
Lyon,0.37776452034928626,0.3516542970309674,0.13717470531464623,0.08845407004240653,0.04495240726269365
Madrid,0.4440182419100344,0.3392079317848795,0.11069299547072901,0.07211747604733637,0.033963354787020665
Malaga,0.44064216307562315,0.3460076045627376,0.1191381495564005,0.0697084917617237,0.024503591043515
Marseille,0.37776452034928626,0.3516542970309674,0.13717470531464623,0.08845407004240653,0.04495240726269365
Milan,0.3732097399100695,0.35521230271026766,0.13384848574753394,0.09987304124451517,0.037856430387613764
Miskolc,0.4260160643660071,0.35096074804896865,0.1262232383054325,0.07547884345073985,0.021321105828851956
Montpellier,0.37776452034928626,0.3516542970309674,0.13717470531464623,0.08845407004240653,0.04495240726269365
Munich,0.48174786180281765,0.3036523593773384,0.10990044131527067,0.0786252677784972,0.026074069726076083
Murcia,0.4671034602164525,0.3333297768118875,0.10173115415458546,0.07056341235754594,0.027272196459528535
Nantes,0.37776452034928626,0.3516542970309674,0.13717470531464623,0.08845407004240653,0.04495240726269365
Naples,0.426427332458107,0.34938392267615476,0.11837825026685443,0.0772116162732459,0.0285988783256379
Nice,0.37776452034928626,0.3516542970309674,0.13717470531464623,0.08845407004240653,0.04495240726269365
Oslo,0.5631664019803435,0.28073068607116064,0.09017262956137868,0.042961274789616755,0.022969007597500368
Palermo,0.4109437899024879,0.342922809532473,0.12640370757240216,0.08593981925859011,0.03378987373404685
Paris,0.4740096423846571,0.33348306792403937,0.1025071876825789,0.060704552861886814,0.02929554914683781
Pecs,0.4113071133715584,0.35354923737304134,0.13242281437006811,0.0792069805314332,0.02351385435389891
Porto,0.4022397192269505,0.3646119231055387,0.12897498851919412,0.07813053996988052,0.0260428291784361
Prague,0.47079788444943277,0.3029777062476507,0.1367975444460327,0.06329175791757918,0.02613510693930469
Riga,0.42891165414721627,0.3267966299294895,0.12255061200918758,0.09191645904189104,0.029824644872215592
Rome,0.3867600889659714,0.3601756837050955,0.1251023751023751,0.09239453357100418,0.03556731865555395
